"","State","Year","Med.Income","StateAbbr"
"1","Alabama","2000","35424","AL"
"2","Alabama","2001","35160","AL"
"3","Alabama","2002","37603","AL"
"4","Alabama","2003","37255","AL"
"5","Alabama","2004","36629","AL"
"6","Alabama","2005","37150","AL"
"7","Alabama","2006","37952","AL"
"8","Alabama","2007","42212","AL"
"9","Alabama","2008","44476","AL"
"10","Alabama","2009","39980","AL"
"11","Alabama","2010","40933","AL"
"12","Alabama","2011","42590","AL"
"13","Alabama","2012","43464","AL"
"14","Alabama","2013","41381","AL"
"15","Alabama","2013","47320","AL"
"16","Alabama","2014","42278","AL"
"17","Alabama","2015","44509","AL"
"18","Alabama","2016","47221","AL"
"19","Alabama","2017","51113","AL"
"20","Alabama","2017","50865","AL"
"21","Alabama","2018","49936","AL"
"22","Alabama","2019","56200","AL"
"23","Alabama","2020","54393","AL"
"24","Alaska","2000","52847","AK"
"25","Alaska","2001","57363","AK"
"26","Alaska","2002","52774","AK"
"27","Alaska","2003","51837","AK"
"28","Alaska","2004","55063","AK"
"29","Alaska","2005","55891","AK"
"30","Alaska","2006","56418","AK"
"31","Alaska","2007","62993","AK"
"32","Alaska","2008","63989","AK"
"33","Alaska","2009","61604","AK"
"34","Alaska","2010","57848","AK"
"35","Alaska","2011","57431","AK"
"36","Alaska","2012","63648","AK"
"37","Alaska","2013","61137","AK"
"38","Alaska","2013","72472","AK"
"39","Alaska","2014","67629","AK"
"40","Alaska","2015","75112","AK"
"41","Alaska","2016","75723","AK"
"42","Alaska","2017","72231","AK"
"43","Alaska","2017","77987","AK"
"44","Alaska","2018","68734","AK"
"45","Alaska","2019","78394","AK"
"46","Alaska","2020","74476","AK"
"47","Arizona","2000","39783","AZ"
"48","Arizona","2001","42704","AZ"
"49","Arizona","2002","39734","AZ"
"50","Arizona","2003","41166","AZ"
"51","Arizona","2004","43846","AZ"
"52","Arizona","2005","45245","AZ"
"53","Arizona","2006","46657","AZ"
"54","Arizona","2007","47215","AZ"
"55","Arizona","2008","46914","AZ"
"56","Arizona","2009","45739","AZ"
"57","Arizona","2010","46896","AZ"
"58","Arizona","2011","48621","AZ"
"59","Arizona","2012","47044","AZ"
"60","Arizona","2013","50602","AZ"
"61","Arizona","2013","52611","AZ"
"62","Arizona","2014","49254","AZ"
"63","Arizona","2015","52248","AZ"
"64","Arizona","2016","57100","AZ"
"65","Arizona","2017","61125","AZ"
"66","Arizona","2017","59700","AZ"
"67","Arizona","2018","62283","AZ"
"68","Arizona","2019","70674","AZ"
"69","Arizona","2020","66628","AZ"
"70","Arkansas","2000","29697","AR"
"71","Arkansas","2001","33339","AR"
"72","Arkansas","2002","32387","AR"
"73","Arkansas","2003","32002","AR"
"74","Arkansas","2004","34984","AR"
"75","Arkansas","2005","36658","AR"
"76","Arkansas","2006","37057","AR"
"77","Arkansas","2007","40795","AR"
"78","Arkansas","2008","39586","AR"
"79","Arkansas","2009","36538","AR"
"80","Arkansas","2010","38587","AR"
"81","Arkansas","2011","41302","AR"
"82","Arkansas","2012","39018","AR"
"83","Arkansas","2013","39919","AR"
"84","Arkansas","2013","39376","AR"
"85","Arkansas","2014","44922","AR"
"86","Arkansas","2015","42798","AR"
"87","Arkansas","2016","45907","AR"
"88","Arkansas","2017","48829","AR"
"89","Arkansas","2017","49751","AR"
"90","Arkansas","2018","49781","AR"
"91","Arkansas","2019","54539","AR"
"92","Arkansas","2020","50540","AR"
"93","California","2000","46816","CA"
"94","California","2001","47262","CA"
"95","California","2002","47437","CA"
"96","California","2003","49300","CA"
"97","California","2004","49222","CA"
"98","California","2005","51755","CA"
"99","California","2006","55319","CA"
"100","California","2007","55734","CA"
"101","California","2008","57014","CA"
"102","California","2009","56134","CA"
"103","California","2010","54283","CA"
"104","California","2011","53367","CA"
"105","California","2012","57020","CA"
"106","California","2013","57528","CA"
"107","California","2013","60794","CA"
"108","California","2014","60487","CA"
"109","California","2015","63636","CA"
"110","California","2016","66637","CA"
"111","California","2017","69759","CA"
"112","California","2017","70038","CA"
"113","California","2018","70489","CA"
"114","California","2019","78105","CA"
"115","California","2020","77358","CA"
"116","Colorado","2000","48240","CO"
"117","Colorado","2001","49397","CO"
"118","Colorado","2002","48294","CO"
"119","Colorado","2003","49940","CO"
"120","Colorado","2004","50886","CO"
"121","Colorado","2005","50449","CO"
"122","Colorado","2006","55697","CO"
"123","Colorado","2007","61141","CO"
"124","Colorado","2008","60943","CO"
"125","Colorado","2009","55930","CO"
"126","Colorado","2010","60233","CO"
"127","Colorado","2011","58629","CO"
"128","Colorado","2012","57255","CO"
"129","Colorado","2013","63371","CO"
"130","Colorado","2013","67912","CO"
"131","Colorado","2014","60940","CO"
"132","Colorado","2015","66596","CO"
"133","Colorado","2016","70566","CO"
"134","Colorado","2017","74172","CO"
"135","Colorado","2017","74984","CO"
"136","Colorado","2018","73034","CO"
"137","Colorado","2019","72499","CO"
"138","Colorado","2020","82611","CO"
"139","Connecticut","2000","50172","CT"
"140","Connecticut","2001","53347","CT"
"141","Connecticut","2002","53387","CT"
"142","Connecticut","2003","54965","CT"
"143","Connecticut","2004","55100","CT"
"144","Connecticut","2005","56835","CT"
"145","Connecticut","2006","62404","CT"
"146","Connecticut","2007","64141","CT"
"147","Connecticut","2008","64682","CT"
"148","Connecticut","2009","64851","CT"
"149","Connecticut","2010","65998","CT"
"150","Connecticut","2011","65415","CT"
"151","Connecticut","2012","64247","CT"
"152","Connecticut","2013","67781","CT"
"153","Connecticut","2013","69291","CT"
"154","Connecticut","2014","70161","CT"
"155","Connecticut","2015","72889","CT"
"156","Connecticut","2016","75923","CT"
"157","Connecticut","2017","72780","CT"
"158","Connecticut","2017","74304","CT"
"159","Connecticut","2018","72812","CT"
"160","Connecticut","2019","87291","CT"
"161","Connecticut","2020","79043","CT"
"162","Delaware","2000","50365","DE"
"163","Delaware","2001","49602","DE"
"164","Delaware","2002","49650","DE"
"165","Delaware","2003","49019","DE"
"166","Delaware","2004","48049","DE"
"167","Delaware","2005","51235","DE"
"168","Delaware","2006","52438","DE"
"169","Delaware","2007","54589","DE"
"170","Delaware","2008","50702","DE"
"171","Delaware","2009","52114","DE"
"172","Delaware","2010","55214","DE"
"173","Delaware","2011","54660","DE"
"174","Delaware","2012","48972","DE"
"175","Delaware","2013","52219","DE"
"176","Delaware","2013","54091","DE"
"177","Delaware","2014","57522","DE"
"178","Delaware","2015","57756","DE"
"179","Delaware","2016","58046","DE"
"180","Delaware","2017","62318","DE"
"181","Delaware","2017","64961","DE"
"182","Delaware","2018","65012","DE"
"183","Delaware","2019","74194","DE"
"184","Delaware","2020","69132","DE"
"185","District of Columbia","2000","41222",NA
"186","District of Columbia","2001","41169",NA
"187","District of Columbia","2002","39070",NA
"188","District of Columbia","2003","45044",NA
"189","District of Columbia","2004","43451",NA
"190","District of Columbia","2005","44993",NA
"191","District of Columbia","2006","48477",NA
"192","District of Columbia","2007","50783",NA
"193","District of Columbia","2008","55590",NA
"194","District of Columbia","2009","53141",NA
"195","District of Columbia","2010","56928",NA
"196","District of Columbia","2011","55251",NA
"197","District of Columbia","2012","65246",NA
"198","District of Columbia","2013","60675",NA
"199","District of Columbia","2013","60057",NA
"200","District of Columbia","2014","68277",NA
"201","District of Columbia","2015","70071",NA
"202","District of Columbia","2016","70982",NA
"203","District of Columbia","2017","83382",NA
"204","District of Columbia","2017","81282",NA
"205","District of Columbia","2018","85750",NA
"206","District of Columbia","2019","93111",NA
"207","District of Columbia","2020","88311",NA
"208","Florida","2000","38856","FL"
"209","Florida","2001","36421","FL"
"210","Florida","2002","38024","FL"
"211","Florida","2003","38972","FL"
"212","Florida","2004","40535","FL"
"213","Florida","2005","42990","FL"
"214","Florida","2006","45676","FL"
"215","Florida","2007","45794","FL"
"216","Florida","2008","44857","FL"
"217","Florida","2009","45631","FL"
"218","Florida","2010","44066","FL"
"219","Florida","2011","45105","FL"
"220","Florida","2012","46071","FL"
"221","Florida","2013","47886","FL"
"222","Florida","2013","48532","FL"
"223","Florida","2014","46140","FL"
"224","Florida","2015","48825","FL"
"225","Florida","2016","51176","FL"
"226","Florida","2017","53681","FL"
"227","Florida","2017","53086","FL"
"228","Florida","2018","54644","FL"
"229","Florida","2019","58368","FL"
"230","Florida","2020","57435","FL"
"231","Georgia","2000","41901","GA"
"232","Georgia","2001","42576","GA"
"233","Georgia","2002","42939","GA"
"234","Georgia","2003","42438","GA"
"235","Georgia","2004","40984","GA"
"236","Georgia","2005","45926","GA"
"237","Georgia","2006","49344","GA"
"238","Georgia","2007","48641","GA"
"239","Georgia","2008","46227","GA"
"240","Georgia","2009","43340","GA"
"241","Georgia","2010","44117","GA"
"242","Georgia","2011","45973","GA"
"243","Georgia","2012","48121","GA"
"244","Georgia","2013","47439","GA"
"245","Georgia","2013","46992","GA"
"246","Georgia","2014","49555","GA"
"247","Georgia","2015","50768","GA"
"248","Georgia","2016","53527","GA"
"249","Georgia","2017","57016","GA"
"250","Georgia","2017","57985","GA"
"251","Georgia","2018","55821","GA"
"252","Georgia","2019","56628","GA"
"253","Georgia","2020","58952","GA"
"254","Hawaii","2000","51546","HI"
"255","Hawaii","2001","47439","HI"
"256","Hawaii","2002","47303","HI"
"257","Hawaii","2003","51834","HI"
"258","Hawaii","2004","56242","HI"
"259","Hawaii","2005","59586","HI"
"260","Hawaii","2006","60470","HI"
"261","Hawaii","2007","64022","HI"
"262","Hawaii","2008","61521","HI"
"263","Hawaii","2009","55649","HI"
"264","Hawaii","2010","59539","HI"
"265","Hawaii","2011","59047","HI"
"266","Hawaii","2012","56263","HI"
"267","Hawaii","2013","61408","HI"
"268","Hawaii","2013","64235","HI"
"269","Hawaii","2014","71223","HI"
"270","Hawaii","2015","64514","HI"
"271","Hawaii","2016","72133","HI"
"272","Hawaii","2017","73575","HI"
"273","Hawaii","2017","73599","HI"
"274","Hawaii","2018","80108","HI"
"275","Hawaii","2019","88006","HI"
"276","Hawaii","2020","80729","HI"
"277","Idaho","2000","37611","ID"
"278","Idaho","2001","38241","ID"
"279","Idaho","2002","37715","ID"
"280","Idaho","2003","42372","ID"
"281","Idaho","2004","44358","ID"
"282","Idaho","2005","44176","ID"
"283","Idaho","2006","46213","ID"
"284","Idaho","2007","49184","ID"
"285","Idaho","2008","47420","ID"
"286","Idaho","2009","46778","ID"
"287","Idaho","2010","47050","ID"
"288","Idaho","2011","47459","ID"
"289","Idaho","2012","47922","ID"
"290","Idaho","2013","51767","ID"
"291","Idaho","2013","48467","ID"
"292","Idaho","2014","53438","ID"
"293","Idaho","2015","51624","ID"
"294","Idaho","2016","56564","ID"
"295","Idaho","2017","60208","ID"
"296","Idaho","2017","59497","ID"
"297","Idaho","2018","58728","ID"
"298","Idaho","2019","65988","ID"
"299","Idaho","2020","66499","ID"
"300","Illinois","2000","46064","IL"
"301","Illinois","2001","46171","IL"
"302","Illinois","2002","42710","IL"
"303","Illinois","2003","45153","IL"
"304","Illinois","2004","46077","IL"
"305","Illinois","2005","48398","IL"
"306","Illinois","2006","48671","IL"
"307","Illinois","2007","52506","IL"
"308","Illinois","2008","53254","IL"
"309","Illinois","2009","52870","IL"
"310","Illinois","2010","50728","IL"
"311","Illinois","2011","50637","IL"
"312","Illinois","2012","51738","IL"
"313","Illinois","2013","57196","IL"
"314","Illinois","2013","53937","IL"
"315","Illinois","2014","54916","IL"
"316","Illinois","2015","60413","IL"
"317","Illinois","2016","61386","IL"
"318","Illinois","2017","64609","IL"
"319","Illinois","2017","65969","IL"
"320","Illinois","2018","70145","IL"
"321","Illinois","2019","74399","IL"
"322","Illinois","2020","73753","IL"
"323","Indiana","2000","40865","IN"
"324","Indiana","2001","40379","IN"
"325","Indiana","2002","41047","IN"
"326","Indiana","2003","42425","IN"
"327","Indiana","2004","42329","IN"
"328","Indiana","2005","42437","IN"
"329","Indiana","2006","45407","IN"
"330","Indiana","2007","47453","IN"
"331","Indiana","2008","46520","IN"
"332","Indiana","2009","44305","IN"
"333","Indiana","2010","46139","IN"
"334","Indiana","2011","44445","IN"
"335","Indiana","2012","46158","IN"
"336","Indiana","2013","50553","IN"
"337","Indiana","2013","49455","IN"
"338","Indiana","2014","48060","IN"
"339","Indiana","2015","51983","IN"
"340","Indiana","2016","56094","IN"
"341","Indiana","2017","58873","IN"
"342","Indiana","2017","58767","IN"
"343","Indiana","2018","59892","IN"
"344","Indiana","2019","66693","IN"
"345","Indiana","2020","66360","IN"
"346","Iowa","2000","40991","IA"
"347","Iowa","2001","40976","IA"
"348","Iowa","2002","41049","IA"
"349","Iowa","2003","41384","IA"
"350","Iowa","2004","43391","IA"
"351","Iowa","2005","46500","IA"
"352","Iowa","2006","48126","IA"
"353","Iowa","2007","48908","IA"
"354","Iowa","2008","50142","IA"
"355","Iowa","2009","50721","IA"
"356","Iowa","2010","49016","IA"
"357","Iowa","2011","50219","IA"
"358","Iowa","2012","53442","IA"
"359","Iowa","2013","54855","IA"
"360","Iowa","2013","60156","IA"
"361","Iowa","2014","57810","IA"
"362","Iowa","2015","60855","IA"
"363","Iowa","2016","59094","IA"
"364","Iowa","2017","63481","IA"
"365","Iowa","2017","63467","IA"
"366","Iowa","2018","68718","IA"
"367","Iowa","2019","66054","IA"
"368","Iowa","2020","68469","IA"
"369","Kansas","2000","41059","KS"
"370","Kansas","2001","41415","KS"
"371","Kansas","2002","42619","KS"
"372","Kansas","2003","44232","KS"
"373","Kansas","2004","41066","KS"
"374","Kansas","2005","42027","KS"
"375","Kansas","2006","45552","KS"
"376","Kansas","2007","48497","KS"
"377","Kansas","2008","47877","KS"
"378","Kansas","2009","44717","KS"
"379","Kansas","2010","46054","KS"
"380","Kansas","2011","46147","KS"
"381","Kansas","2012","50003","KS"
"382","Kansas","2013","51485","KS"
"383","Kansas","2013","47820","KS"
"384","Kansas","2014","53444","KS"
"385","Kansas","2015","54865","KS"
"386","Kansas","2016","56810","KS"
"387","Kansas","2017","57872","KS"
"388","Kansas","2017","56900","KS"
"389","Kansas","2018","63938","KS"
"390","Kansas","2019","73151","KS"
"391","Kansas","2020","72815","KS"
"392","Kentucky","2000","36265","KY"
"393","Kentucky","2001","38437","KY"
"394","Kentucky","2002","36762","KY"
"395","Kentucky","2003","36936","KY"
"396","Kentucky","2004","35610","KY"
"397","Kentucky","2005","36699","KY"
"398","Kentucky","2006","39485","KY"
"399","Kentucky","2007","39452","KY"
"400","Kentucky","2008","41148","KY"
"401","Kentucky","2009","42664","KY"
"402","Kentucky","2010","41104","KY"
"403","Kentucky","2011","39856","KY"
"404","Kentucky","2012","41086","KY"
"405","Kentucky","2013","42158","KY"
"406","Kentucky","2013","44879","KY"
"407","Kentucky","2014","42786","KY"
"408","Kentucky","2015","42387","KY"
"409","Kentucky","2016","45369","KY"
"410","Kentucky","2017","51348","KY"
"411","Kentucky","2017","49672","KY"
"412","Kentucky","2018","54555","KY"
"413","Kentucky","2019","55662","KY"
"414","Kentucky","2020","56525","KY"
"415","Louisiana","2000","30718","LA"
"416","Louisiana","2001","33322","LA"
"417","Louisiana","2002","34008","LA"
"418","Louisiana","2003","33507","LA"
"419","Louisiana","2004","36429","LA"
"420","Louisiana","2005","37236","LA"
"421","Louisiana","2006","36488","LA"
"422","Louisiana","2007","41313","LA"
"423","Louisiana","2008","39563","LA"
"424","Louisiana","2009","45433","LA"
"425","Louisiana","2010","39300","LA"
"426","Louisiana","2011","40658","LA"
"427","Louisiana","2012","39085","LA"
"428","Louisiana","2013","39622","LA"
"429","Louisiana","2013","46425","LA"
"430","Louisiana","2014","42406","LA"
"431","Louisiana","2015","45922","LA"
"432","Louisiana","2016","42196","LA"
"433","Louisiana","2017","43903","LA"
"434","Louisiana","2017","43565","LA"
"435","Louisiana","2018","49973","LA"
"436","Louisiana","2019","51707","LA"
"437","Louisiana","2020","50935","LA"
