"","State","date","price"
"1","California","2000-01-31",139739.888075828
"2","Texas","2000-01-31",57976.1727530199
"3","Florida","2000-01-31",73337.765292516
"4","New York","2000-01-31",96783.4604962274
"5","Pennsylvania","2000-01-31",64294.6487091125
"6","Illinois","2000-01-31",76924.9199855516
"7","Ohio","2000-01-31",63734.4015193517
"8","Georgia","2000-01-31",65360.1023632493
"9","North Carolina","2000-01-31",75757.5419601496
"10","Michigan","2000-01-31",71228.7599534144
"11","New Jersey","2000-01-31",114247.294292259
"12","Virginia","2000-01-31",74715.584683179
"13","Washington","2000-01-31",124788.47054944
"14","Arizona","2000-01-31",104160.72253839
"15","Massachusetts","2000-01-31",144986.398263694
"16","Tennessee","2000-01-31",66612.3555719561
"17","Indiana","2000-01-31",NA
"18","Maryland","2000-01-31",93207.7384263252
"19","Missouri","2000-01-31",54844.1897459036
"20","Wisconsin","2000-01-31",83644.9101060613
"21","Colorado","2000-01-31",120899.644692269
"22","Minnesota","2000-01-31",92549.2842166688
"23","South Carolina","2000-01-31",72899.2519232477
"24","Alabama","2000-01-31",53362.7129948473
"25","Louisiana","2000-01-31",64093.1799871645
"26","Kentucky","2000-01-31",55769.4888569926
"27","Oregon","2000-01-31",103543.106074644
"28","Oklahoma","2000-01-31",31511.2585142585
"29","Connecticut","2000-01-31",110923.938715867
"30","Utah","2000-01-31",115676.752338136
"31","Iowa","2000-01-31",63183.4879093273
"32","Nevada","2000-01-31",108351.477367025
"33","Arkansas","2000-01-31",49154.3944494121
"34","Mississippi","2000-01-31",NA
"35","Kansas","2000-01-31",46068.1483332731
"36","New Mexico","2000-01-31",NA
"37","Nebraska","2000-01-31",66932.5527338865
"38","Idaho","2000-01-31",78183.5495663719
"39","West Virginia","2000-01-31",37770.5143874737
"40","Hawaii","2000-01-31",142476.130834483
"41","New Hampshire","2000-01-31",96280.3797574109
"42","Maine","2000-01-31",82877.4628595299
"43","Rhode Island","2000-01-31",101324.937155276
"44","Montana","2000-01-31",NA
"45","Delaware","2000-01-31",97071.8054024734
"46","South Dakota","2000-01-31",NA
"47","North Dakota","2000-01-31",NA
"48","Alaska","2000-01-31",96025.8002169788
"49","District of Columbia","2000-01-31",145567.215103768
"50","Vermont","2000-01-31",83004.3811950426
"51","Wyoming","2000-01-31",NA
"52","California","2000-02-29",140212.456034516
"53","Texas","2000-02-29",57982.1891330529
"54","Florida","2000-02-29",73492.740591927
"55","New York","2000-02-29",97053.1312665088
"56","Pennsylvania","2000-02-29",64428.1716102532
"57","Illinois","2000-02-29",76981.5932535251
"58","Ohio","2000-02-29",63764.0879542654
"59","Georgia","2000-02-29",65513.1231972445
"60","North Carolina","2000-02-29",75905.2478345996
"61","Michigan","2000-02-29",71267.1109919316
"62","New Jersey","2000-02-29",114571.305972511
