"","State","date","price"
"1","California","2000-01-31",192095.280823188
"2","Texas","2000-01-31",107136.765488981
"3","Florida","2000-01-31",110460.988912154
"4","New York","2000-01-31",127554.980954503
"5","Pennsylvania","2000-01-31",91007.4471277009
"6","Illinois","2000-01-31",115928.980743718
"7","Ohio","2000-01-31",99701.5403719729
"8","Georgia","2000-01-31",116506.956859059
"9","North Carolina","2000-01-31",121774.702286009
"10","Michigan","2000-01-31",101461.811522124
"11","New Jersey","2000-01-31",159462.805776234
"12","Virginia","2000-01-31",119015.40795145
"13","Washington","2000-01-31",176494.591909799
"14","Arizona","2000-01-31",133585.657488719
"15","Massachusetts","2000-01-31",198732.3399611
"16","Tennessee","2000-01-31",96223.1475814748
"17","Indiana","2000-01-31",93640.2477636206
"18","Maryland","2000-01-31",145772.551139371
"19","Missouri","2000-01-31",87670.8380484878
"20","Wisconsin","2000-01-31",108564.064493097
"21","Colorado","2000-01-31",180093.97346962
"22","Minnesota","2000-01-31",118155.023339434
"23","South Carolina","2000-01-31",103486.169478447
"24","Alabama","2000-01-31",79323.9217684314
"25","Louisiana","2000-01-31",86966.7545893666
"26","Kentucky","2000-01-31",80936.0246363009
"27","Oregon","2000-01-31",150279.502109018
"28","Oklahoma","2000-01-31",72680.8087978118
"29","Connecticut","2000-01-31",171289.447075741
"30","Utah","2000-01-31",170313.068794438
"31","Iowa","2000-01-31",78252.0887936367
"32","Nevada","2000-01-31",164655.085056582
"33","Arkansas","2000-01-31",70553.7200656921
"34","Mississippi","2000-01-31",69773.9621810393
"35","Kansas","2000-01-31",74066.847203756
"36","New Mexico","2000-01-31",NA
"37","Nebraska","2000-01-31",110046.026225145
"38","Idaho","2000-01-31",119550.824389069
"39","West Virginia","2000-01-31",60680.0401543192
"40","Hawaii","2000-01-31",206817.331780247
"41","New Hampshire","2000-01-31",135823.826236556
"42","Maine","2000-01-31",96243.4037699944
"43","Rhode Island","2000-01-31",132317.339645729
"44","Montana","2000-01-31",NA
"45","Delaware","2000-01-31",137243.690004723
"46","South Dakota","2000-01-31",94881.9356807789
"47","North Dakota","2000-01-31",NA
"48","Alaska","2000-01-31",127884.812186863
"49","District of Columbia","2000-01-31",170719.887801054
"50","Vermont","2000-01-31",91442.2600190494
"51","Wyoming","2000-01-31",NA
"52","California","2000-02-29",192736.163162517
"53","Texas","2000-02-29",107191.214344782
"54","Florida","2000-02-29",110708.2970667
"55","New York","2000-02-29",127981.236285131
